unix_time,sample_id,pressure_pa,temperature_c,height_m,kf_pressure_pa,kf_height_m
1783576456,94,98551.13,25.08,158.83,98550.84,158.85
1783576456,95,98551.52,25.08,158.79,98551.11,158.83
1783576456,96,98551.19,25.08,158.82,98551.12,158.83
1783576456,97,98551.19,25.08,158.82,98551.13,158.83
1783576456,98,98551.61,25.08,158.79,98551.2,158.82
1783576456,99,98551.61,25.08,158.79,98551.27,158.82
1783576457,100,98551.61,25.08,158.79,98551.32,158.81
1783576457,101,98551.3,25.08,158.81,98551.31,158.81
1783576457,102,98551.72,25.09,158.78,98551.37,158.81
1783576457,103,98551.39,25.09,158.81,98551.48,158.8
1783576457,104,98551.39,25.09,158.81,98551.46,158.8
1783576457,105,98552.14,25.09,158.74,98551.57,158.79
1783576457,106,98552.14,25.09,158.74,98551.66,158.79
1783576458,107,98552.14,25.09,158.74,98551.73,158.78
1783576458,108,98552.14,25.09,158.74,98551.8,158.77
1783576458,109,98552.14,25.09,158.74,98551.85,158.77
1783576458,110,98552.14,25.09,158.74,98551.89,158.77
1783576458,111,98551.81,25.09,158.77,98551.91,158.76
1783576458,112,98551.48,25.09,158.8,98551.83,158.77
1783576458,113,98551.59,25.09,158.79,98551.78,158.78
1783576459,114,98551.27,25.09,158.82,98551.69,158.78
1783576459,115,98551.27,25.09,158.82,98551.61,158.79
1783576459,116,98551.27,25.09,158.82,98551.55,158.8
1783576459,117,98550.94,25.09,158.85,98551.44,158.81
1783576459,118,98550.61,25.09,158.88,98551.3,158.82
1783576459,119,98549.38,25.09,158.99,98550.59,158.88
1783576459,120,98549.38,25.09,158.99,98550.38,158.9
1783576459,121,98549.05,25.09,159.02,98550.16,158.92
1783576460,122,98549.16,25.1,159.01,98549.98,158.94
1783576460,123,98548.51,25.1,159.07,98549.73,158.96
1783576460,124,98548.51,25.1,159.07,98549.52,158.98
1783576460,125,98547.44,25.09,159.16,98549.17,159.01
1783576460,126,98547.11,25.09,159.19,98548.82,159.04
1783576460,127,98546.45,25.09,159.25,98547.7,159.14
1783576460,128,98546.45,25.09,159.25,98547.48,159.16
1783576461,129,98546.14,25.09,159.27,98547.26,159.18
1783576461,130,98546.14,25.09,159.27,98547.07,159.19
1783576461,131,98546.14,25.09,159.27,98546.91,159.21
1783576461,132,98546.14,25.09,159.27,98546.78,159.22
1783576461,133,98545.75,25.09,159.31,98546.6,159.23
1783576461,134,98545.75,25.09,159.31,98546.45,159.25
1783576461,135,98546.06,25.09,159.28,98546.05,159.28
1783576462,136,98545.97,25.09,159.29,98546.04,159.28
1783576462,137,98546.3,25.09,159.26,98546.08,159.28
1783576462,138,98546.52,25.09,159.24,98546.15,159.27
