unix_time,sample_id,pressure_pa,temperature_c,height_m,kf_pressure_pa,kf_height_m
1783575952,80,98577.0,26.2,158.2,98577.59,158.15
1783575952,81,98577.0,26.2,158.2,98577.59,158.15
1783575952,82,98580.0,26.2,157.94,98577.98,158.11
1783575952,83,98577.0,26.19,158.2,98577.82,158.13
1783575952,84,98578.0,26.19,158.11,98577.95,158.12
1783575953,85,98579.0,26.19,158.02,98578.12,158.1
1783575953,86,98579.0,26.18,158.02,98578.26,158.09
1783575953,87,98580.0,26.18,157.93,98578.54,158.06
1783575953,88,98581.0,26.18,157.84,98578.94,158.02
1783575953,89,98581.0,26.17,157.84,98579.27,158.0
1783575953,90,98578.0,26.17,158.11,98579.06,158.01
1783575953,91,98579.0,26.17,158.02,98579.05,158.01
1783575954,92,98579.0,26.16,158.02,98579.09,158.01
1783575954,93,98578.0,26.16,158.11,98578.91,158.03
1783575954,94,98580.0,26.16,157.93,98579.09,158.01
1783575954,95,98579.0,26.15,158.01,98579.07,158.01
1783575954,96,98577.0,26.15,158.19,98578.74,158.04
1783575954,97,98577.0,26.16,158.19,98578.46,158.06
1783575954,98,98579.0,26.15,158.01,98578.55,158.05
1783575954,99,98579.0,26.15,158.01,98578.62,158.05
1783575955,100,98580.0,26.15,157.93,98579.3,157.99
1783575955,102,98579.0,26.14,158.01,98579.21,158.0
1783575955,103,98579.0,26.15,158.01,98579.18,158.0
1783575955,104,98579.0,26.14,158.01,98579.15,158.0
1783575955,105,98578.0,26.14,158.1,98578.96,158.01
1783575955,106,98577.0,26.14,158.19,98578.65,158.04
1783575955,107,98578.0,26.14,158.1,98578.55,158.05
1783575956,108,98577.0,26.14,158.19,98578.28,158.07
1783575956,109,98581.0,26.14,157.83,98578.72,158.03
1783575956,110,98579.0,26.14,158.01,98578.77,158.03
1783575956,111,98579.0,26.13,158.01,98578.8,158.03
1783575956,112,98575.0,26.13,158.36,98578.2,158.08
1783575956,113,98578.0,26.13,158.1,98578.16,158.08
1783575956,114,98579.0,26.13,158.0,98578.3,158.07
1783575956,115,98579.0,26.13,158.0,98578.41,158.06
1783575957,116,98580.0,26.12,157.91,98578.93,158.01
1783575957,117,98579.0,26.12,158.0,98578.94,158.01
1783575957,118,98582.0,26.12,157.74,98579.43,157.97
1783575957,119,98581.0,26.12,157.83,98579.68,157.94
1783575957,120,98579.0,26.12,158.0,98579.57,157.95
1783575957,121,98577.0,26.11,158.18,98579.16,157.99
1783575957,122,98577.0,26.12,158.18,98578.81,158.02
1783575957,123,98577.0,26.12,158.17,98578.52,158.04
1783575958,124,98580.0,26.11,157.91,98579.34,157.97
1783575958,125,98580.0,26.11,157.91,98579.45,157.96
1783575958,126,98580.0,26.11,157.91,98579.53,157.95
1783575958,127,98576.0,26.1,158.26,98578.97,158.0
1783575958,128,98576.0,26.11,158.26,98578.49,158.04
1783575958,129,98575.0,26.1,158.35,98577.93,158.09
1783575958,130,98575.0,26.1,158.35,98577.46,158.13
1783575959,131,98575.0,26.1,158.35,98577.06,158.16
1783575959,132,98570.0,26.09,158.79,98574.03,158.44
1783575959,133,98571.0,26.08,158.7,98573.55,158.48
1783575959,134,98569.0,26.08,158.88,98572.82,158.54
1783575959,135,98570.0,26.08,158.79,98572.37,158.58
1783575959,136,98570.0,26.08,158.79,98571.98,158.62
1783575959,137,98567.0,26.08,159.06,98571.19,158.69
1783575959,138,98567.0,26.08,159.06,98570.52,158.75
1783575960,139,98567.0,26.08,159.06,98569.95,158.8
1783575960,140,98570.0,26.07,158.79,98569.45,158.84
1783575960,141,98568.0,26.07,158.97,98569.21,158.86
1783575960,142,98564.0,26.07,159.33,98568.38,158.94
1783575960,143,98568.0,26.07,158.97,98568.31,158.95
1783575960,144,98568.0,26.07,158.97,98568.27,158.95
1783575960,145,98566.0,26.07,159.15,98567.9,158.98
1783575961,146,98566.0,26.06,159.15,98567.59,159.01
1783575961,147,98565.0,26.06,159.24,98567.18,159.05
1783575961,148,98565.0,26.06,159.24,98566.64,159.09
1783575961,149,98564.0,26.06,159.33,98566.22,159.13
1783575961,150,98569.0,26.06,158.89,98566.66,159.09
1783575961,151,98567.0,26.05,159.06,98566.72,159.09
1783575961,152,98566.0,26.05,159.16,98566.6,159.1
1783575962,153,98567.0,26.05,159.07,98566.66,159.1
1783575962,154,98567.0,26.05,159.07,98566.72,159.09
1783575962,155,98565.0,26.05,159.24,98566.45,159.12
1783575962,156,98566.0,26.05,159.16,98566.23,159.14
1783575962,157,98566.0,26.05,159.16,98566.19,159.14
1783575962,158,98565.0,26.05,159.24,98566.0,159.16
1783575962,159,98567.0,26.05,159.07,98566.16,159.14
1783575962,160,98566.0,26.05,159.16,98566.14,159.14
