unix_time,sample_id,pressure_pa,temperature_c,height_m,kf_pressure_pa,kf_height_m
1783575339,20,98589.1,26.15,159.25,98589.27,159.24
1783575339,21,98589.43,26.15,159.22,98589.31,159.23
1783575339,22,98589.43,26.15,159.22,98589.31,159.23
1783575339,23,98589.52,26.15,159.21,98589.36,159.23
1783575339,24,98589.52,26.15,159.21,98589.4,159.23
1783575339,25,98589.27,26.16,159.24,98589.41,159.23
1783575339,26,98589.37,26.16,159.23,98589.4,159.23
1783575339,27,98589.37,26.16,159.23,98589.39,159.23
1783575339,28,98589.37,26.16,159.23,98589.38,159.23
1783575340,29,98589.79,26.16,159.2,98589.48,159.22
1783575340,30,98589.46,26.16,159.23,98589.48,159.22
1783575340,31,98589.46,26.16,159.23,98589.47,159.23
1783575340,32,98589.88,26.16,159.19,98589.57,159.22
1783575340,33,98589.23,26.16,159.25,98589.41,159.23
1783575340,34,98589.23,26.16,159.25,98589.37,159.23
1783575340,35,98589.23,26.16,159.25,98589.34,159.24
1783575341,36,98588.8,26.16,159.28,98589.2,159.25
1783575341,37,98589.13,26.16,159.25,98589.19,159.25
1783575341,38,98588.71,26.16,159.29,98589.07,159.26
1783575341,39,98588.71,26.16,159.29,98588.98,159.27
1783575341,40,98588.94,26.16,159.27,98588.97,159.27
1783575341,41,98588.41,26.14,159.31,98588.73,159.28
1783575341,42,98588.98,26.14,159.26,98588.8,159.27
1783575342,43,98588.88,26.14,159.27,98588.81,159.27
1783575342,44,98588.71,26.13,159.28,98588.8,159.27
1783575342,45,98588.94,26.13,159.26,98588.84,159.27
1783575342,46,98588.84,26.13,159.26,98588.84,159.27
1783575342,47,98588.74,26.12,159.27,98588.81,159.26
1783575342,48,98588.26,26.12,159.31,98588.68,159.27
1783575342,49,98587.71,26.1,159.35,98588.3,159.3
1783575342,50,98587.6,26.1,159.36,98588.13,159.31
1783575343,51,98587.6,26.1,159.36,98588.01,159.32
1783575343,52,98587.41,26.1,159.38,98587.87,159.34
1783575343,53,98587.66,26.09,159.35,98587.82,159.33
1783575343,54,98587.48,26.09,159.36,98587.74,159.34
1783575343,55,98587.38,26.09,159.37,98587.66,159.35
1783575343,56,98587.21,26.08,159.38,98587.56,159.35
1783575343,57,98587.63,26.07,159.34,98587.46,159.36
1783575344,58,98587.45,26.06,159.35,98587.47,159.35
1783575344,59,98587.6,26.06,159.34,98587.51,159.35
1783575344,60,98587.41,26.05,159.35,98587.5,159.34
1783575344,61,98587.54,26.05,159.34,98587.52,159.34
1783575344,62,98587.38,26.04,159.35,98587.5,159.34
1783575344,63,98587.18,26.04,159.36,98587.43,159.34
1783575344,64,98587.02,26.03,159.37,98587.34,159.34
1783575345,65,98587.12,26.02,159.36,98587.2,159.35
1783575345,66,98586.91,26.01,159.37,98587.14,159.35
1783575345,67,98587.18,26.01,159.35,98587.16,159.35
1783575345,68,98586.98,26.0,159.36,98587.14,159.35
1783575345,69,98586.79,26.0,159.38,98587.07,159.35
1783575345,70,98586.73,26.0,159.38,98587.0,159.36
1783575345,71,98586.85,25.99,159.37,98586.99,159.35
1783575345,72,98586.65,25.99,159.38,98586.93,159.36
1783575346,73,98586.37,25.97,159.4,98586.7,159.37
1783575346,74,98586.37,25.97,159.4,98586.64,159.37
1783575346,75,98586.16,25.96,159.41,98586.55,159.38
1783575346,76,98586.39,25.96,159.39,98586.54,159.38
1783575346,77,98586.23,25.96,159.41,98586.48,159.38
1783575346,78,98586.13,25.95,159.41,98586.42,159.38
1783575346,79,98585.94,25.95,159.43,98586.33,159.39
1783575346,80,98586.2,25.95,159.4,98586.32,159.39
1783575347,81,98586.2,25.93,159.39,98586.27,159.39
1783575347,82,98586.74,25.93,159.34,98586.41,159.37
1783575347,83,98586.91,25.92,159.32,98586.56,159.36
1783575347,84,98587.04,25.92,159.31,98586.71,159.34
1783575347,85,98587.27,25.91,159.29,98586.88,159.32
1783575347,86,98587.1,25.91,159.3,98586.97,159.31
1783575347,87,98586.91,25.9,159.31,98586.98,159.31
1783575347,88,98587.1,25.9,159.3,98587.04,159.3
1783575348,89,98586.9,25.89,159.31,98587.06,159.29
1783575348,90,98586.8,25.88,159.31,98587.04,159.29
1783575348,91,98587.03,25.88,159.29,98587.07,159.29
1783575348,92,98586.84,25.88,159.31,98587.05,159.29
1783575348,93,98587.1,25.87,159.28,98587.09,159.28
1783575348,94,98587.23,25.87,159.27,98587.16,159.28
1783575348,95,98587.03,25.86,159.28,98587.16,159.27
1783575348,96,98587.29,25.86,159.26,98587.23,159.26
1783575349,97,98587.16,25.85,159.27,98587.27,159.26
1783575349,98,98587.29,25.84,159.25,98587.31,159.25
1783575349,99,98587.09,25.84,159.27,98587.3,159.25
1783575349,100,98587.35,25.84,159.24,98587.34,159.24
1783575349,101,98587.58,25.83,159.22,98587.45,159.23
1783575349,102,98587.38,25.83,159.23,98587.47,159.23
1783575349,103,98587.61,25.83,159.21,98587.54,159.22
1783575350,104,98587.45,25.82,159.22,98587.55,159.21
1783575350,105,98587.87,25.81,159.18,98587.89,159.18
1783575350,106,98587.7,25.8,159.19,98587.89,159.17
1783575350,107,98587.93,25.8,159.17,98587.95,159.17
1783575350,108,98587.73,25.79,159.18,98587.94,159.16
1783575350,109,98587.96,25.79,159.16,98587.98,159.16
1783575350,110,98587.9,25.79,159.17,98588.01,159.16
1783575351,111,98587.7,25.78,159.18,98587.98,159.15
1783575351,112,98587.6,25.78,159.19,98587.94,159.16
1783575351,113,98587.79,25.77,159.17,98587.91,159.16
1783575351,114,98587.7,25.77,159.17,98587.91,159.16
1783575351,115,98587.96,25.76,159.15,98587.97,159.14
1783575351,116,98588.18,25.76,159.13,98588.07,159.14
1783575351,117,98587.99,25.76,159.14,98588.09,159.13
1783575351,118,98588.21,25.75,159.12,98588.18,159.12
1783575352,119,98588.05,25.75,159.13,98588.2,159.12
1783575352,120,98587.85,25.74,159.14,98588.16,159.12
1783575352,121,98588.79,25.73,159.06,98588.61,159.07
1783575352,122,98589.02,25.73,159.04,98588.77,159.06
1783575352,123,98588.86,25.73,159.05,98588.84,159.05
1783575352,124,98588.76,25.72,159.05,98588.88,159.04
1783575352,125,98588.99,25.72,159.03,98588.95,159.04
1783575353,126,98589.21,25.72,159.01,98589.07,159.03
1783575353,127,98589.05,25.71,159.02,98589.13,159.02
1783575353,128,98589.27,25.71,159.0,98589.22,159.01
1783575353,129,98589.7,25.7,158.96,98589.59,158.97
1783575353,130,98589.53,25.69,158.97,98589.64,158.96
1783575353,131,98589.01,25.69,159.02,98589.54,158.97
1783575353,132,98589.24,25.68,158.99,98589.52,158.96
1783575354,133,98589.4,25.68,158.98,98589.55,158.96
1783575354,134,98589.21,25.67,158.99,98589.53,158.96
1783575354,135,98589.43,25.67,158.97,98589.56,158.96
1783575354,136,98589.27,25.67,158.98,98589.55,158.96
1783575354,137,98589.37,25.65,158.96,98589.63,158.94
1783575354,138,98589.59,25.65,158.94,98589.67,158.94
1783575354,139,98589.39,25.64,158.96,98589.67,158.93
1783575354,140,98589.65,25.64,158.93,98589.73,158.93
1783575355,141,98589.46,25.64,158.95,98589.73,158.93
1783575355,142,98589.26,25.63,158.96,98589.68,158.92
1783575355,143,98589.52,25.63,158.94,98589.7,158.92
1783575355,144,98588.99,25.62,158.98,98589.59,158.93
1783575355,145,98589.29,25.61,158.95,98589.53,158.93
1783575355,146,98589.09,25.61,158.97,98589.49,158.93
1783575355,147,98589.32,25.61,158.95,98589.52,158.93
1783575356,148,98589.57,25.6,158.92,98589.6,158.92
1783575356,149,98589.05,25.6,158.96,98589.53,158.92
1783575356,150,98589.28,25.6,158.94,98589.54,158.92
1783575356,151,98589.22,25.59,158.94,98589.53,158.92
1783575356,152,98589.45,25.59,158.92,98589.58,158.91
1783575356,153,98589.21,25.58,158.94,98589.48,158.91
1783575356,154,98589.44,25.57,158.91,98589.54,158.9
1783575357,155,98588.95,25.57,158.96,98589.46,158.91
1783575357,156,98588.85,25.57,158.97,98589.38,158.92
1783575357,157,98588.76,25.56,158.97,98589.3,158.92
1783575357,158,98588.98,25.56,158.95,98589.3,158.92
1783575357,159,98588.88,25.56,158.96,98589.27,158.92
1783575357,160,98588.4,25.55,159.0,98589.13,158.93
1783575357,161,98589.01,25.54,158.94,98589.03,158.93
1783575357,162,98588.49,25.54,158.98,98588.97,158.94
1783575358,163,98588.71,25.54,158.96,98588.98,158.94
1783575358,164,98588.94,25.53,158.94,98589.05,158.93
1783575358,165,98588.45,25.53,158.98,98588.98,158.93
1783575358,166,98588.68,25.53,158.96,98588.98,158.93
1783575358,167,98588.59,25.52,158.96,98588.96,158.93
1783575358,168,98588.41,25.52,158.98,98588.91,158.93
1783575358,169,98588.12,25.51,159.0,98588.66,158.95
1783575359,170,98588.02,25.51,159.01,98588.58,158.96
1783575359,171,98588.28,25.51,158.98,98588.58,158.96
1783575359,172,98588.28,25.51,158.98,98588.58,158.96
1783575359,173,98588.18,25.5,158.99,98588.56,158.95
1783575359,174,98588.09,25.5,159.0,98588.52,158.96
1783575359,175,98587.89,25.5,159.01,98588.45,158.96
1783575359,176,98588.15,25.49,158.99,98588.46,158.96
1783575359,177,98588.34,25.48,158.96,98588.66,158.94
1783575360,178,98588.57,25.48,158.94,98588.72,158.93
1783575360,179,98588.47,25.48,158.95,98588.73,158.93
1783575360,180,98588.37,25.47,158.96,98588.73,158.92
1783575360,181,98588.63,25.47,158.93,98588.79,158.92
1783575360,182,98588.53,25.47,158.94,98588.8,158.92
1783575360,183,98588.11,25.47,158.98,98588.72,158.92
1783575360,184,98588.43,25.47,158.95,98588.73,158.92
1783575361,185,98588.17,25.46,158.97,98588.69,158.92
1783575361,186,98588.07,25.46,158.98,98588.62,158.93
1783575361,187,98588.4,25.46,158.95,98588.65,158.93
1783575361,188,98588.3,25.45,158.95,98588.65,158.92
1783575361,189,98588.3,25.45,158.95,98588.65,158.92
1783575361,190,98588.2,25.45,158.96,98588.63,158.92
1783575361,191,98587.77,25.45,159.0,98588.5,158.93
1783575361,192,98588.1,25.45,158.97,98588.48,158.93
1783575362,193,98587.94,25.44,158.98,98588.34,158.94
1783575362,194,98588.27,25.44,158.95,98588.41,158.94
1783575362,195,98588.16,25.44,158.96,98588.44,158.93
1783575362,196,98588.07,25.44,158.97,98588.44,158.93
1783575362,197,98587.65,25.44,159.0,98588.33,158.94
1783575362,198,98588.29,25.44,158.95,98588.41,158.94
1783575362,199,98588.23,25.43,158.95,98588.45,158.93
1783575362,200,98588.13,25.43,158.95,98588.45,158.93
1783575363,201,98587.57,25.42,159.0,98588.27,158.94
