unix_time,sample_id,pressure_pa,temperature_c,height_m,kf_pressure_pa,kf_height_m
1783575224,73,98590.0,27.24,158.95,98590.33,158.92
1783575224,74,98590.0,27.24,158.95,98590.33,158.92
1783575224,75,98591.0,27.24,158.86,98590.4,158.92
1783575225,76,98592.0,27.24,158.77,98590.7,158.89
1783575225,77,98589.0,27.24,159.04,98590.38,158.92
1783575225,78,98591.0,27.24,158.87,98590.5,158.91
1783575225,79,98589.0,27.24,159.05,98590.23,158.94
1783575225,80,98591.0,27.24,158.87,98590.37,158.92
1783575225,81,98589.0,27.24,159.05,98590.12,158.95
1783575225,82,98591.0,27.24,158.87,98590.28,158.93
1783575225,83,98592.0,27.24,158.79,98590.6,158.91
1783575226,84,98589.0,27.24,159.05,98590.53,158.92
1783575226,85,98587.0,27.24,159.23,98589.88,158.97
1783575226,86,98590.0,27.24,158.96,98589.9,158.97
1783575226,87,98590.0,27.24,158.97,98589.91,158.98
1783575226,88,98591.0,27.23,158.88,98590.12,158.96
1783575226,89,98588.0,27.23,159.14,98589.73,158.99
1783575226,90,98590.0,27.23,158.97,98589.77,158.99
1783575226,91,98588.0,27.23,159.15,98589.45,159.02
1783575226,92,98589.0,27.23,159.06,98589.36,159.03
1783575227,93,98590.0,27.22,158.97,98590.08,158.97
1783575227,94,98591.0,27.22,158.88,98590.25,158.95
1783575227,95,98591.0,27.21,158.88,98590.39,158.94
1783575227,96,98589.0,27.21,159.06,98590.13,158.96
1783575227,97,98590.0,27.21,158.97,98590.11,158.96
1783575227,98,98590.0,27.21,158.97,98590.09,158.97
1783575227,99,98590.0,27.21,158.97,98590.07,158.97
1783575227,100,98591.0,27.21,158.88,98590.24,158.95
1783575228,102,98592.0,27.21,158.8,98590.84,158.9
1783575228,103,98588.0,27.21,159.15,98590.31,158.95
1783575228,104,98590.0,27.21,158.97,98590.26,158.95
1783575228,105,98589.0,27.21,159.06,98590.02,158.97
1783575228,106,98590.0,27.21,158.97,98590.02,158.97
1783575228,107,98591.0,27.2,158.88,98590.2,158.96
1783575228,108,98591.0,27.2,158.88,98590.34,158.94
1783575228,109,98588.0,27.2,159.15,98589.91,158.98
1783575228,110,98590.0,27.19,158.97,98589.93,158.98
1783575229,111,98590.0,27.19,158.97,98590.09,158.96
1783575229,112,98591.0,27.18,158.88,98590.26,158.94
1783575229,113,98590.0,27.18,158.97,98590.21,158.95
1783575229,114,98591.0,27.18,158.88,98590.36,158.94
1783575229,115,98591.0,27.17,158.88,98590.48,158.93
1783575229,116,98591.0,27.17,158.88,98590.57,158.92
1783575229,117,98592.0,27.17,158.79,98590.84,158.89
1783575229,118,98590.0,27.16,158.97,98590.68,158.91
1783575230,119,98589.0,27.16,159.06,98590.37,158.94
1783575230,120,98590.0,27.15,158.97,98589.95,158.97
1783575230,121,98588.0,27.14,159.14,98589.59,159.0
1783575230,122,98589.0,27.14,159.06,98589.48,159.01
1783575230,123,98590.0,27.14,158.97,98589.58,159.01
1783575230,124,98589.0,27.14,159.05,98589.47,159.01
1783575230,125,98586.0,27.13,159.32,98588.83,159.07
1783575230,126,98590.0,27.13,158.96,98589.05,159.05
1783575231,127,98590.0,27.13,158.96,98589.23,159.03
1783575231,128,98590.0,27.12,158.96,98589.37,159.02
1783575231,129,98587.0,27.12,159.23,98589.35,159.02
1783575231,130,98590.0,27.11,158.96,98589.47,159.0
1783575231,131,98587.0,27.11,159.22,98589.02,159.04
1783575231,132,98590.0,27.11,158.96,98589.2,159.03
1783575231,133,98591.0,27.11,158.87,98589.53,159.0
1783575231,134,98590.0,27.11,158.96,98589.62,158.99
1783575231,135,98590.0,27.1,158.96,98589.69,158.98
1783575232,136,98591.0,27.1,158.87,98589.93,158.96
1783575232,137,98589.0,27.1,159.04,98589.76,158.97
1783575232,138,98589.0,27.09,159.04,98589.71,158.98
1783575232,139,98589.0,27.08,159.04,98589.58,158.99
1783575232,140,98590.0,27.08,158.95,98589.66,158.98
