unix_time,sample_id,pressure_pa,temperature_c,height_m,kf_pressure_pa,kf_height_m
1783573522,143,98611.81,25.28,158.85,98611.7,158.86
1783573522,144,98611.81,25.28,158.85,98611.77,158.85
1783573522,145,98611.71,25.28,158.86,98611.76,158.85
1783573522,146,98611.71,25.28,158.86,98611.75,158.85
1783573522,147,98611.71,25.28,158.86,98611.74,158.85
1783573522,148,98611.71,25.28,158.86,98611.73,158.86
1783573523,149,98612.03,25.28,158.83,98611.81,158.85
1783573523,150,98612.03,25.28,158.83,98611.87,158.84
1783573523,151,98612.03,25.28,158.83,98611.91,158.84
1783573523,152,98612.36,25.28,158.8,98612.07,158.83
1783573523,153,98612.69,25.28,158.77,98612.23,158.81
1783573523,154,98612.69,25.28,158.77,98612.34,158.8
1783573523,155,98612.69,25.28,158.77,98612.43,158.79
1783573523,156,98613.01,25.28,158.74,98612.57,158.78
1783573524,157,98613.01,25.28,158.74,98612.68,158.77
1783573524,158,98613.33,25.28,158.71,98612.84,158.76
1783573524,159,98613.33,25.28,158.71,98612.96,158.75
1783573524,160,98613.75,25.28,158.68,98613.32,158.72
1783573524,161,98613.75,25.28,158.68,98613.43,158.71
1783573524,162,98613.75,25.28,158.68,98613.51,158.7
1783573524,163,98613.75,25.28,158.68,98613.57,158.69
1783573525,164,98613.75,25.28,158.68,98613.62,158.69
1783573525,165,98613.44,25.28,158.7,98613.58,158.69
1783573525,166,98613.75,25.28,158.68,98613.63,158.69
1783573525,167,98613.75,25.28,158.68,98613.66,158.69
1783573525,168,98613.33,25.28,158.71,98613.7,158.68
1783573525,169,98613.33,25.28,158.71,98613.62,158.69
1783573525,170,98613.66,25.28,158.69,98613.63,158.69
1783573526,171,98613.33,25.28,158.71,98613.55,158.69
1783573526,172,98613.66,25.28,158.69,98613.58,158.69
1783573526,173,98613.66,25.28,158.69,98613.6,158.69
1783573526,174,98613.66,25.28,158.69,98613.62,158.69
1783573526,175,98613.66,25.28,158.69,98613.63,158.69
1783573526,176,98613.66,25.28,158.69,98613.65,158.69
1783573526,177,98613.98,25.28,158.66,98613.73,158.68
1783573526,178,98613.98,25.28,158.66,98613.8,158.67
1783573527,179,98614.31,25.28,158.63,98613.92,158.66
1783573527,180,98614.31,25.28,158.63,98614.02,158.65
1783573527,181,98614.63,25.28,158.6,98614.16,158.64
1783573527,182,98614.95,25.28,158.57,98614.36,158.62
1783573527,183,98614.95,25.28,158.57,98614.51,158.61
1783573527,184,98614.86,25.28,158.58,98614.79,158.59
1783573527,185,98615.19,25.28,158.55,98614.89,158.58
1783573528,186,98615.19,25.28,158.55,98614.97,158.57
1783573528,187,98615.19,25.28,158.55,98615.02,158.56
1783573528,188,98615.19,25.28,158.55,98615.06,158.56
1783573528,189,98615.19,25.28,158.55,98615.09,158.56
1783573528,190,98614.86,25.28,158.58,98615.04,158.56
1783573528,191,98614.47,25.27,158.61,98614.9,158.57
1783573528,192,98614.47,25.27,158.61,98614.61,158.6
1783573528,193,98614.47,25.27,158.61,98614.58,158.6
1783573529,194,98614.47,25.27,158.61,98614.55,158.6
1783573529,195,98614.47,25.27,158.61,98614.54,158.6
1783573529,196,98614.14,25.27,158.64,98614.45,158.61
1783573529,197,98614.14,25.27,158.64,98614.38,158.62
1783573529,198,98614.14,25.27,158.64,98614.32,158.62
1783573529,199,98614.14,25.27,158.64,98614.28,158.62
1783573529,200,98613.82,25.27,158.67,98614.12,158.64
1783573530,201,98613.82,25.27,158.67,98614.05,158.65
1783573530,202,98613.49,25.27,158.69,98613.91,158.66
1783573530,203,98613.49,25.27,158.69,98613.81,158.67
1783573530,204,98613.82,25.27,158.67,98613.81,158.67
1783573530,205,98613.82,25.27,158.67,98613.81,158.67
1783573530,206,98613.82,25.27,158.67,98613.81,158.67
1783573530,207,98613.82,25.27,158.67,98613.81,158.67
1783573531,208,98613.72,25.27,158.67,98613.83,158.67
1783573531,209,98614.05,25.27,158.65,98613.88,158.66
1783573531,210,98614.7,25.27,158.59,98614.09,158.64
1783573531,211,98615.34,25.27,158.53,98614.4,158.61
1783573531,212,98614.59,25.27,158.6,98614.45,158.61
1783573531,213,98614.59,25.27,158.6,98614.48,158.61
1783573531,214,98614.27,25.27,158.63,98614.43,158.61
1783573531,215,98613.84,25.27,158.66,98614.29,158.62
1783573532,216,98613.84,25.27,158.66,98614.08,158.64
1783573532,217,98613.84,25.27,158.66,98614.02,158.65
1783573532,218,98614.17,25.27,158.63,98614.06,158.64
1783573532,219,98614.17,25.27,158.63,98614.09,158.64
1783573532,220,98614.17,25.27,158.63,98614.12,158.64
1783573532,221,98614.17,25.27,158.63,98614.13,158.64
1783573532,222,98614.17,25.27,158.63,98614.14,158.64
1783573532,223,98614.5,25.27,158.61,98614.23,158.63
1783573533,224,98614.83,25.27,158.58,98614.61,158.6
1783573533,225,98614.83,25.27,158.58,98614.66,158.59
1783573533,226,98614.83,25.27,158.58,98614.7,158.59
1783573533,227,98615.14,25.27,158.55,98614.81,158.58
1783573533,228,98615.14,25.27,158.55,98614.9,158.57
1783573533,229,98615.14,25.27,158.55,98614.96,158.56
1783573533,230,98615.08,25.26,158.55,98615.0,158.56
1783573533,231,98615.08,25.26,158.55,98615.02,158.55
1783573534,232,98615.41,25.26,158.52,98615.2,158.54
1783573534,233,98615.41,25.26,158.52,98615.25,158.53
1783573534,234,98614.98,25.26,158.56,98615.19,158.54
1783573534,235,98614.98,25.26,158.56,98615.14,158.54
1783573534,236,98615.41,25.26,158.52,98615.21,158.54
1783573534,237,98615.31,25.26,158.53,98615.24,158.53
1783573534,238,98615.31,25.26,158.53,98615.27,158.53
1783573534,239,98614.98,25.26,158.56,98615.2,158.54
1783573535,240,98614.66,25.26,158.59,98614.88,158.57
1783573535,241,98614.75,25.26,158.58,98614.85,158.57
1783573535,242,98614.75,25.26,158.58,98614.83,158.57
1783573535,243,98614.75,25.26,158.58,98614.81,158.57
1783573535,244,98614.44,25.26,158.61,98614.73,158.58
1783573535,245,98614.44,25.26,158.61,98614.66,158.59
1783573535,246,98614.44,25.26,158.61,98614.61,158.59
1783573536,247,98614.11,25.26,158.63,98614.49,158.6
1783573536,248,98614.01,25.26,158.64,98614.28,158.62
1783573536,249,98613.69,25.26,158.67,98614.14,158.63
1783573536,250,98613.69,25.26,158.67,98614.03,158.64
1783573536,251,98613.69,25.26,158.67,98613.95,158.65
1783573536,252,98613.69,25.26,158.67,98613.89,158.65
1783573536,253,98613.36,25.26,158.7,98613.77,158.67
1783573537,254,98613.36,25.26,158.7,98613.67,158.67
1783573537,255,98613.69,25.26,158.67,98613.68,158.67
1783573537,256,98613.36,25.26,158.7,98613.48,158.69
1783573537,257,98613.03,25.26,158.73,98613.38,158.7
1783573537,258,98613.36,25.26,158.7,98613.38,158.7
1783573537,259,98613.36,25.26,158.7,98613.38,158.7
1783573537,260,98613.03,25.26,158.73,98613.3,158.71
1783573537,261,98613.03,25.26,158.73,98613.23,158.71
1783573538,262,98613.03,25.26,158.73,98613.19,158.72
1783573538,263,98613.03,25.26,158.73,98613.16,158.72
1783573538,264,98613.69,25.26,158.67,98613.45,158.69
1783573538,265,98614.11,25.26,158.63,98613.61,158.68
1783573538,266,98614.11,25.26,158.63,98613.73,158.67
1783573538,267,98614.11,25.26,158.63,98613.83,158.66
1783573538,268,98614.11,25.26,158.63,98613.9,158.65
1783573539,269,98614.11,25.26,158.63,98613.95,158.65
1783573539,270,98614.11,25.26,158.63,98613.99,158.64
1783573539,271,98614.11,25.26,158.63,98614.02,158.64
1783573539,272,98613.36,25.26,158.7,98613.71,158.67
1783573539,273,98613.36,25.26,158.7,98613.63,158.68
1783573539,274,98613.36,25.26,158.7,98613.56,158.68
1783573539,275,98613.03,25.26,158.73,98613.44,158.69
1783573540,276,98613.45,25.26,158.69,98613.45,158.69
1783573540,277,98613.13,25.26,158.72,98613.38,158.7
1783573540,278,98613.13,25.26,158.72,98613.32,158.7
1783573540,279,98613.13,25.26,158.72,98613.28,158.71
1783573540,280,98613.13,25.26,158.72,98613.28,158.71
1783573540,281,98613.45,25.26,158.69,98613.33,158.7
1783573540,282,98613.45,25.26,158.69,98613.36,158.7
1783573540,283,98613.78,25.26,158.66,98613.47,158.69
1783573541,284,98613.78,25.26,158.66,98613.55,158.68
1783573541,285,98613.78,25.26,158.66,98613.61,158.68
1783573541,286,98613.78,25.26,158.66,98613.66,158.68
1783573541,287,98613.78,25.26,158.66,98613.69,158.67
1783573541,288,98614.44,25.26,158.61,98614.13,158.63
1783573541,289,98614.44,25.26,158.61,98614.2,158.63
1783573541,290,98614.44,25.26,158.61,98614.27,158.62
1783573542,291,98614.11,25.26,158.63,98614.23,158.62
1783573542,292,98614.11,25.26,158.63,98614.21,158.63
1783573542,293,98614.11,25.26,158.63,98614.19,158.63
1783573542,294,98614.11,25.26,158.63,98614.17,158.63
1783573542,295,98614.11,25.26,158.63,98614.16,158.63
1783573542,296,98614.5,25.27,158.61,98614.36,158.62
1783573542,297,98614.5,25.27,158.61,98614.4,158.61
1783573542,298,98614.5,25.27,158.61,98614.42,158.61
1783573543,299,98614.83,25.27,158.58,98614.52,158.6
1783573543,300,98614.83,25.27,158.58,98614.6,158.6
1783573543,301,98614.83,25.27,158.58,98614.66,158.59
1783573543,302,98614.5,25.27,158.61,98614.62,158.6
1783573543,303,98614.5,25.27,158.61,98614.59,158.6
1783573543,304,98614.17,25.27,158.63,98614.31,158.62
1783573543,305,98614.5,25.27,158.61,98614.36,158.62
1783573544,306,98614.83,25.27,158.58,98614.48,158.61
1783573544,307,98614.83,25.27,158.58,98614.56,158.6
1783573544,308,98614.83,25.27,158.58,98614.63,158.59
1783573544,309,98614.83,25.27,158.58,98614.68,158.59
1783573544,310,98615.24,25.27,158.54,98614.82,158.58
1783573544,311,98615.24,25.27,158.54,98614.92,158.57
1783573544,312,98615.24,25.27,158.54,98615.19,158.54
1783573545,313,98615.24,25.27,158.54,98615.2,158.54
1783573545,314,98615.24,25.27,158.54,98615.21,158.54
1783573545,315,98614.59,25.27,158.6,98615.06,158.56
1783573545,316,98614.92,25.27,158.57,98615.03,158.56
1783573545,317,98615.24,25.27,158.54,98615.09,158.55
1783573545,318,98615.34,25.27,158.53,98615.15,158.55
1783573545,319,98615.34,25.27,158.53,98615.2,158.54
1783573545,320,98614.59,25.27,158.6,98614.94,158.57
1783573546,321,98614.92,25.27,158.57,98614.94,158.57
