unix_time,sample_id,pressure_pa,temperature_c,height_m,kf_pressure_pa,kf_height_m
1783573522,143,98613.0,27.47,158.74,98613.4,158.71
1783573522,144,98615.0,27.48,158.57,98613.58,158.69
1783573522,145,98613.0,27.48,158.74,98613.48,158.7
1783573522,146,98615.0,27.48,158.57,98613.74,158.68
1783573522,147,98613.0,27.48,158.74,98613.61,158.69
1783573522,148,98613.0,27.48,158.74,98613.5,158.7
1783573522,149,98614.0,27.48,158.66,98613.59,158.69
1783573523,150,98614.0,27.48,158.66,98613.66,158.69
1783573523,151,98612.0,27.48,158.83,98613.37,158.71
1783573523,152,98612.0,27.48,158.83,98613.18,158.73
1783573523,153,98610.0,27.48,159.01,98612.62,158.78
1783573523,154,98614.0,27.48,158.66,98612.86,158.76
1783573523,155,98612.0,27.48,158.83,98612.71,158.77
1783573523,156,98614.0,27.48,158.66,98612.94,158.75
1783573524,157,98614.0,27.48,158.66,98613.13,158.73
1783573524,158,98614.0,27.48,158.66,98613.28,158.72
1783573524,159,98613.0,27.48,158.74,98613.23,158.72
1783573524,160,98613.0,27.48,158.74,98613.59,158.69
1783573524,161,98612.0,27.48,158.83,98613.31,158.72
1783573524,162,98615.0,27.48,158.57,98613.61,158.69
1783573524,163,98615.0,27.49,158.57,98613.85,158.67
1783573525,164,98615.0,27.49,158.57,98614.05,158.65
1783573525,165,98615.0,27.49,158.57,98614.22,158.64
1783573525,166,98611.0,27.49,158.92,98613.65,158.69
1783573525,167,98614.0,27.49,158.66,98613.71,158.68
1783573525,168,98611.0,27.49,158.92,98613.48,158.7
1783573525,169,98612.0,27.49,158.83,98613.22,158.72
1783573525,170,98616.0,27.49,158.48,98613.71,158.68
1783573525,171,98614.0,27.49,158.66,98613.77,158.68
1783573526,172,98612.0,27.49,158.83,98613.45,158.7
1783573526,173,98614.0,27.49,158.66,98613.55,158.7
1783573526,174,98615.0,27.49,158.57,98613.8,158.67
1783573526,175,98615.0,27.49,158.57,98614.02,158.65
1783573526,176,98613.0,27.49,158.74,98614.0,158.66
1783573526,177,98614.0,27.49,158.66,98614.0,158.66
1783573526,178,98614.0,27.49,158.66,98614.0,158.66
1783573527,179,98616.0,27.49,158.48,98614.35,158.62
1783573527,180,98612.0,27.49,158.83,98613.94,158.66
1783573527,181,98614.0,27.49,158.66,98613.95,158.66
1783573527,182,98611.0,27.49,158.92,98613.42,158.71
1783573527,183,98614.0,27.49,158.66,98613.52,158.7
1783573527,184,98615.0,27.49,158.57,98614.32,158.63
1783573527,185,98613.0,27.5,158.74,98614.09,158.65
1783573528,186,98613.0,27.5,158.74,98613.89,158.66
1783573528,187,98613.0,27.5,158.74,98613.73,158.68
1783573528,188,98616.0,27.5,158.48,98614.13,158.64
1783573528,189,98614.0,27.5,158.66,98614.11,158.65
1783573528,190,98614.0,27.51,158.66,98614.09,158.65
1783573528,191,98611.0,27.5,158.92,98613.55,158.69
1783573528,192,98612.0,27.51,158.83,98613.23,158.72
1783573528,193,98613.0,27.51,158.74,98613.19,158.72
1783573529,194,98616.0,27.52,158.47,98613.69,158.68
1783573529,195,98614.0,27.51,158.65,98613.74,158.67
1783573529,196,98613.0,27.51,158.74,98613.61,158.68
1783573529,197,98612.0,27.51,158.83,98613.33,158.71
1783573529,198,98615.0,27.51,158.56,98613.63,158.68
1783573529,199,98611.0,27.51,158.92,98613.16,158.72
1783573529,200,98614.0,27.51,158.65,98613.67,158.68
1783573530,201,98614.0,27.51,158.65,98613.73,158.67
1783573530,202,98612.0,27.5,158.83,98613.42,158.7
1783573530,203,98612.0,27.5,158.83,98613.17,158.72
1783573530,204,98615.0,27.5,158.56,98613.49,158.69
1783573530,205,98612.0,27.5,158.83,98613.23,158.72
1783573530,206,98612.0,27.5,158.83,98613.01,158.74
1783573530,207,98612.0,27.5,158.83,98612.83,158.75
1783573531,208,98612.0,27.49,158.83,98613.15,158.73
1783573531,209,98616.0,27.49,158.47,98613.66,158.68
1783573531,210,98612.0,27.49,158.83,98613.37,158.71
1783573531,211,98613.0,27.49,158.74,98613.3,158.71
1783573531,212,98613.0,27.49,158.74,98613.25,158.72
1783573531,213,98613.0,27.49,158.74,98613.2,158.72
1783573531,214,98613.0,27.49,158.74,98613.16,158.72
1783573531,215,98611.0,27.49,158.92,98612.78,158.76
1783573532,216,98614.0,27.48,158.65,98613.34,158.71
1783573532,217,98615.0,27.48,158.56,98613.63,158.68
1783573532,218,98612.0,27.48,158.83,98613.34,158.71
1783573532,219,98613.0,27.48,158.74,98613.28,158.71
1783573532,220,98611.0,27.48,158.92,98612.88,158.75
1783573532,221,98613.0,27.48,158.74,98612.9,158.75
1783573532,222,98613.0,27.49,158.74,98612.91,158.75
1783573532,223,98610.0,27.49,159.0,98612.4,158.79
1783573533,224,98614.0,27.49,158.65,98612.4,158.79
1783573533,225,98611.0,27.49,158.92,98612.15,158.81
1783573533,226,98613.0,27.5,158.74,98612.3,158.8
1783573533,227,98614.0,27.5,158.65,98612.6,158.77
1783573533,228,98611.0,27.5,158.92,98612.32,158.8
1783573533,229,98612.0,27.49,158.83,98612.27,158.8
1783573533,230,98614.0,27.5,158.64,98612.57,158.77
1783573533,231,98612.0,27.5,158.82,98612.47,158.78
1783573534,232,98613.0,27.5,158.73,98612.39,158.79
1783573534,233,98614.0,27.5,158.64,98612.67,158.76
1783573534,234,98613.0,27.5,158.73,98612.73,158.76
1783573534,235,98613.0,27.5,158.73,98612.77,158.75
1783573534,236,98612.0,27.51,158.82,98612.63,158.77
1783573534,237,98612.0,27.5,158.82,98612.52,158.78
1783573534,238,98614.0,27.51,158.64,98612.78,158.75
1783573534,239,98616.0,27.51,158.47,98613.35,158.7
1783573535,240,98614.0,27.51,158.64,98612.9,158.74
1783573535,241,98615.0,27.51,158.56,98613.27,158.71
1783573535,242,98613.0,27.51,158.73,98613.23,158.71
1783573535,243,98611.0,27.51,158.91,98612.84,158.75
1783573535,244,98612.0,27.51,158.82,98612.69,158.76
1783573535,245,98611.0,27.51,158.91,98612.39,158.79
1783573535,246,98615.0,27.52,158.56,98612.85,158.75
1783573536,247,98613.0,27.52,158.73,98612.88,158.74
1783573536,248,98611.0,27.51,158.91,98612.62,158.77
1783573536,249,98613.0,27.52,158.73,98612.69,158.76
1783573536,250,98612.0,27.51,158.82,98612.56,158.77
1783573536,251,98613.0,27.51,158.73,98612.64,158.76
1783573536,252,98613.0,27.51,158.73,98612.7,158.76
1783573536,253,98613.0,27.51,158.73,98612.76,158.75
